Location,species,d13C,d15N
celtic sea,Scomber scombrus,-18.6,12.55
celtic sea,Scomber scombrus,-19.88,11.38
celtic sea,Scomber scombrus,-20.16,11.08
celtic sea,Scomber scombrus,-20.49,10.98
celtic sea,Scomber scombrus,-19.94,11.7
celtic sea,Scomber scombrus,-21.57,10.56
celtic sea,Scomber scombrus,-20.01,11.67
celtic sea,Scomber scombrus,-20.81,12.84
celtic sea,Scomber scombrus,-19.95,12.59
celtic sea,Scomber scombrus,-20.16,12.81
celtic sea,Scomber scombrus,-21.55,13.06
celtic sea,Scomber scombrus,-20.78,14.01
celtic sea,Scomber scombrus,-19.87,11.49
celtic sea,Scomber scombrus,-20.75,10.99
celtic sea,Scomber scombrus,-19.99,10.77
celtic sea,Scomber scombrus,-20,11.9
celtic sea,Scomber scombrus,-18.79,11.89
celtic sea,Scomber scombrus,-19.79,11.03
celtic sea,Scomber scombrus,-20.47,12.21
celtic sea,Scomber scombrus,-21.74,11.43
celtic sea,Scomber scombrus,-19.78,11.69
celtic sea,Scomber scombrus,-19.82,11.68
celtic sea,Scomber scombrus,-21.01,10.22
celtic sea,Scomber scombrus,-20.66,9.56
celtic sea,Scomber scombrus,-18.63,11.5
celtic sea,Scomber scombrus,-19.64,12.84
celtic sea,Scomber scombrus,-19.03,14.85
celtic sea,Scomber scombrus,-19.81,12.45
celtic sea,Scomber scombrus,-21.29,10.26
celtic sea,Scomber scombrus,-22.56,9.01
celtic sea,Scomber scombrus,-22.4,8.26
celtic sea,Scomber scombrus,-20,13.63
celtic sea,Scomber scombrus,-19.55,13.4
celtic sea,Scomber scombrus,-20.73,12.68
celtic sea,Scomber scombrus,-20.25,13.21
celtic sea,Scomber scombrus,-19.29,15.61
celtic sea,Scomber scombrus,-21.15,12.21
celtic sea,Scomber scombrus,-21.37,12.89
celtic sea,Clupea harengus,-20.06,12.24
celtic sea,Clupea harengus,-19.51,12.19
celtic sea,Clupea harengus,-20.22,12.08
celtic sea,Clupea harengus,-18.18,13.79
celtic sea,Clupea harengus,-18.84,12.96
celtic sea,Clupea harengus,-17.86,13.81
celtic sea,Clupea harengus,-18.57,12.88
celtic sea,Clupea harengus,-18.64,12.97
celtic sea,Clupea harengus,-18.99,12.42
celtic sea,Clupea harengus,-18.67,14.19
celtic sea,Clupea harengus,-18.43,13.77
celtic sea,Clupea harengus,-19.21,12.73
celtic sea,Clupea harengus,-19.45,12.88
celtic sea,Clupea harengus,-18.33,14.53
celtic sea,Clupea harengus,-17.85,13.44
celtic sea,Clupea harengus,-19.78,12.85
celtic sea,Clupea harengus,-19.52,13.16
celtic sea,Clupea harengus,-20.47,12.08
celtic sea,Clupea harengus,-19.16,9.61
celtic sea,Clupea harengus,-17.85,12.37
celtic sea,Clupea harengus,-20.47,11.99
celtic sea,Clupea harengus,-20.11,11.86
celtic sea,Clupea harengus,-20.04,12.01
celtic sea,Clupea harengus,-20.8,11.97
celtic sea,Clupea harengus,-19.5,11.96
north sea,Scomber scombrus,-18.59,6.89
